City,Lattitude,Windspeed,Humidity,Cloudiness,Temperature
rikitea,-23.12,18.99,80,67,76.08
ribeira grande,38.52,17.92,90,100,60.58
nyurba,63.29,1.25,98,100,-14.55
suvorovskaya,44.19,6.71,92,75,17.24
bathsheba,13.22,10.29,78,40,77.0
iqaluit,63.75,26.4,61,5,-23.8
ilulissat,69.22,3.36,71,99,8.6
vaini,15.34,7.76,72,0,65.91
jamestown,-33.21,10.47,70,100,53.37
bonito,-1.36,2.24,95,100,73.24
bluff,-23.58,11.23,35,95,89.51
yar-sale,66.83,17.54,85,63,23.4
cape town,-33.93,5.82,82,75,65.53
yenagoa,4.92,3.98,65,47,73.27
ushuaia,-54.81,11.41,62,75,51.8
barrow,-38.31,10.25,89,74,63.7
nicoya,10.15,18.34,65,2,76.8
nanortalik,60.14,17.34,79,97,30.78
busselton,-33.64,10.42,19,27,80.87
karratha,-20.74,20.22,67,33,84.49
mataura,-46.19,24.0,66,100,57.0
punta arenas,-53.16,4.7,81,90,48.11
naze,5.43,3.44,29,33,70.48
cuamba,-14.8,1.25,96,99,69.91
socorro,31.65,2.33,36,1,47.68
somerset east,-32.72,4.7,97,28,65.32
avarua,-21.21,3.36,83,2,82.4
thompson,55.74,5.82,84,90,3.2
samarai,-10.62,5.37,81,100,83.03
olinda,-37.84,20.8,76,75,55.99
georgetown,6.8,9.17,74,20,76.86
nishihara,35.74,14.99,42,20,46.24
upernavik,72.79,9.8,95,58,-35.61
cidreira,-30.17,17.9,82,0,72.93
grindavik,63.84,33.33,93,75,36.61
chuy,-33.69,10.25,82,0,66.78
geraldton,49.72,6.93,78,90,15.8
san martin,37.08,5.82,82,75,52.5
katsuura,33.93,17.22,49,75,47.55
werota,11.92,7.94,77,3,66.56
obo,5.39,7.92,30,0,70.34
lebu,8.96,1.59,82,100,51.49
castro,-42.48,9.17,62,66,55.4
ambilobe,-13.19,0.31,87,74,78.13
coihaique,-45.58,3.36,58,75,50.56
kodiak,39.95,9.17,55,1,35.94
tasiilaq,65.61,7.67,79,100,26.6
kobyzhcha,50.83,6.71,95,99,33.8
margate,-43.03,6.93,28,10,68.14
khatanga,71.98,9.57,86,0,-19.98
pochutla,15.74,5.82,78,75,80.01
mersing,2.43,18.03,81,52,80.22
hamilton,43.26,8.05,86,75,32.52
umarkot,25.37,4.25,46,0,60.49
tilichiki,60.47,5.7,64,58,-3.77
vila franca do campo,37.72,13.87,88,20,64.4
ancud,-41.87,9.17,62,32,55.4
guane,22.2,16.11,86,85,75.76
qaanaaq,77.48,5.82,54,0,-40.47
petropavlovsk-kamchatskiy,53.05,13.42,78,40,32.0
almaznyy,48.03,11.18,100,20,24.8
pendleton,34.65,8.05,65,1,39.11
new norfolk,-42.78,6.93,28,0,68.16
touba,14.86,12.39,13,1,64.24
bethel,60.79,8.05,76,1,-11.16
ponta delgada,37.73,13.87,88,20,64.4
erzurum,39.91,2.24,92,90,10.4
butaritari,3.07,11.83,78,62,84.16
hami,42.84,1.07,49,0,20.1
oromocto,45.85,2.24,92,90,31.26
hithadhoo,-0.6,6.2,65,30,84.06
omsukchan,62.53,1.48,61,26,-1.16
harper,30.3,10.02,49,1,50.47
puerto ayora,-0.74,3.0,83,68,75.0
wanning,48.64,18.34,86,75,34.95
hasaki,35.73,4.7,70,20,43.48
port alfred,-33.59,5.01,98,100,70.0
albany,42.65,3.36,93,90,34.18
port blair,11.67,12.8,75,66,81.68
pedro juan caballero,-22.55,5.75,96,0,67.71
komsomolskiy,67.55,26.71,89,100,22.12
artigas,-30.4,10.56,67,4,71.24
bara,10.41,6.55,40,36,57.04
chumikan,54.72,6.71,76,98,-0.72
maragogi,-9.01,13.76,78,100,79.77
santa vitoria do palmar,-33.52,10.25,82,0,66.78
pangnirtung,66.15,7.92,99,100,-32.96
saint-philippe,45.36,6.93,92,90,28.99
cabo san lucas,22.89,5.82,68,20,67.08
lubango,-14.92,1.54,89,100,58.78
baykit,61.68,8.37,89,100,11.34
ferme-neuve,46.7,7.27,91,100,20.39
isangel,-19.55,17.22,58,20,86.0
gravdal,59.79,9.17,86,100,38.12
gizo,31.8,8.05,93,75,48.88
bilibino,68.06,2.39,52,0,-4.41
arlit,18.74,9.86,33,0,52.47
hilo,19.71,6.93,69,75,70.25
port keats,-14.25,0.36,49,94,94.28
nome,30.04,2.84,71,1,50.34
yellowknife,62.45,10.29,84,90,1.4
kavieng,-2.57,8.46,71,100,84.96
beloha,-25.17,13.4,87,19,72.18
ahipara,-35.17,4.0,66,75,75.99
port elizabeth,39.31,5.82,93,90,47.77
cherskiy,68.75,7.74,55,78,-2.72
aklavik,68.22,2.24,67,75,-25.6
vanavara,60.35,11.7,91,100,14.9
luderitz,-26.65,13.44,85,0,61.65
jarvakandi,58.78,1.01,74,59,30.99
gawler,-34.6,8.05,62,75,57.61
atuona,-9.8,5.35,67,0,81.32
palmer,-34.85,8.05,62,75,57.61
